match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1082650,Mumbai Indians,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,0.5806451612903226,0.5172413793103449,0.2,142,9,78,1,128.75176075414456,7.659423619772861,129.07432933941257,7.865208394915755
1136561,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai,0.5833333333333334,0.6076923076923076,0.5454545454545454,111,4,140,7,128.46278064280878,7.786689419795222,130.47831843760343,7.68991968233914
1136562,Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Chandigarh,0.4305555555555556,0.4657534246575342,0.45,168,8,230,3,132.5176399939949,7.804500592183182,129.8747763864043,7.935731749912679
1136563,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata,0.4864864864864865,0.5273972602739726,0.45,158,6,48,3,132.5176399939949,7.804500592183182,128.59359948624638,7.647165768456594
1136564,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,0.5350877192982456,0.5466666666666666,0.5714285714285714,199,6,158,2,133.37374114136517,7.997813610276031,130.37531972647074,7.512538082962268
1136565,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai,0.5306122448979592,0.6106870229007634,0.375,107,10,161,8,132.38078438290117,7.845609621885073,133.75529748472673,7.778296878318114
1136566,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sawai Mansingh Stadium,Jaipur,0.5304347826086957,0.42758620689655175,0.625,109,10,151,10,124.13025889967638,7.530017657445556,128.1467797464103,7.538770388958595
1136567,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Hyderabad,0.5796178343949044,0.5526315789473685,0.5,129,8,128,7,133.82240227745538,7.794558110103353,124.30215107553776,7.5412763466042145
1136568,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M.Chinnaswamy Stadium,Bengaluru,0.46938775510204084,0.48322147651006714,0.6,73,10,161,6,128.22425207408028,7.545605582322645,132.630533816143,7.860084230229293
1136569,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai,0.5759493670886076,0.4246575342465753,0.55,165,4,166,7,131.80577223088923,7.8745452541064935,131.73952641165755,7.941794910863934
